"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","UTEP",65.9818,299,65.5058,282,99.794,329,100.964,313,109.402,207,110.337,201,-9.37314,274
"2026","UTSA",69.6179,113,68.5776,115,96.9736,345,99.6938,326,119.006,354,118.299,333,-18.6054,339
"2026","Valparaiso",66.1176,292,65.1269,301,105.898,230,108.155,185,106.339,118,107.162,135,0.993643,158
"2026","Vanderbilt",70.7876,62,68.8932,98,121.231,8,126.804,7,105.883,108,99.3275,31,27.4766,12
"2026","VCU",69.3654,124,68.544,116,117.774,40,119.861,46,103.176,66,102.728,63,17.1325,46
"2026","Vermont",64.4347,346,64.8721,310,110.625,127,106.018,229,105.3,98,112.543,247,-6.52482,241
"2026","Villanova",66.4864,277,65.2403,295,115.085,61,120.353,41,105.085,96,100.414,35,19.9392,33
"2026","Virginia",66.5116,273,65.7792,270,119.345,22,122.615,27,100.948,36,95.9272,16,26.6881,13
"2026","Virginia Tech",67.9302,206,67.0508,197,112.861,90,117.227,63,107.569,147,103.576,70,13.6516,55
"2026","VMI",67.5698,219,66.7636,217,101.364,310,98.5899,338,123.288,362,124.862,364,-26.272,360
"2026","Wagner",65.2725,324,65.4802,286,104.789,256,102.489,294,109.236,201,115.2,297,-12.7102,305
"2026","Wake Forest",69.512,116,68.104,134,112.247,101,117.022,68,110.067,220,105.651,105,11.371,75
"2026","Washington",67.9313,205,67.1223,194,112.348,98,117.256,62,107.758,159,102.116,55,15.1395,53
"2026","Washington St.",68.9335,154,67.8371,148,109.634,147,114.029,95,112.193,273,111.619,226,2.4106,136
"2026","Weber St.",69.836,99,68.5111,119,111.793,106,111.547,129,111.898,268,114.248,280,-2.70094,198
"2026","West Georgia",70.1741,87,69.1963,81,105.987,229,101.571,307,113.445,299,114.113,275,-12.5422,304
"2026","West Virginia",63.9598,356,62.2615,364,106.813,211,109.972,154,99.9185,28,96.7458,17,13.2258,61
"2026","Western Carolina",68.7552,162,67.8119,155,111.173,118,109.153,170,113.564,301,114.737,288,-5.58429,229
"2026","Western Illinois",67.319,229,66.5861,225,93.5522,359,92.8445,359,116.383,337,121.322,355,-28.4776,364
"2026","Western Kentucky",70.9267,57,69.8744,52,108.932,162,108.642,181,107.749,158,108.439,154,0.203373,170
"2026","Western Michigan",69.0477,146,67.7065,160,106.594,217,107.759,194,115.849,334,116.982,317,-9.22268,273
"2026","Wichita St.",67.4945,223,66.5262,229,111.635,108,112.081,117,102.22,50,102.368,58,9.71276,83
"2026","William & Mary",73.5696,8,72.5794,7,110.984,121,111.021,135,107.27,142,109.455,184,1.56688,145
"2026","Winthrop",71.6942,29,70.0082,43,113.181,85,111.639,126,107.925,163,110.531,205,1.10801,155
"2026","Wisconsin",68.9386,152,68.7543,103,118.938,26,125.346,11,108.596,182,101.961,51,23.3853,22
"2026","Wofford",68.4052,178,67.8166,152,113.854,73,109.141,171,114.185,312,116.504,313,-7.36338,253
"2026","Wright St.",69.0191,148,67.2008,192,115.481,57,112.057,118,108.877,192,110.019,194,2.03767,140
"2026","Wyoming",67.5551,221,66.383,233,112.747,92,114.648,84,108.572,181,107.117,133,7.53139,95
"2026","Xavier",71.2033,46,70.2781,33,109.115,159,116.887,69,112.547,279,109.437,182,7.45003,97
"2026","Yale",65.5792,314,64.5237,322,120.605,11,120.302,43,108.409,175,110.11,195,10.1921,81
"2026","Youngstown St.",68.6308,167,67.2309,187,109.127,158,105.514,243,108.841,191,109.447,183,-3.93265,215
